"Time","Value"
1999.41666666667,1.4
1999.5,1.2
1999.58333333333,1.6
1999.66666666667,1.9
1999.75,1.8
1999.83333333333,1.7
1999.91666666667,2
2000,1
2000.08333333333,1.3
2000.16666666667,1.3
2000.25,0.9
2000.33333333333,1.1
2000.41666666667,0.9
2000.5,0.9
2000.58333333333,0.9
2000.66666666667,0.9
2000.75,1
2000.83333333333,1.3
2000.91666666667,1
2001,1.5
2001.08333333333,1.5
2001.16666666667,1.8
2001.25,2.7
2001.33333333333,2.9
2001.41666666667,2.8
2001.5,2.7
2001.58333333333,2.8
2001.66666666667,2.9
2001.75,2.6
2001.83333333333,2.6
2001.91666666667,2.8
2002,2.9
2002.08333333333,2.8
2002.16666666667,2.9
2002.25,2.3
2002.33333333333,1.8
2002.41666666667,1.8
2002.5,2
2002.58333333333,1.9
2002.66666666667,1.8
2002.75,2.2
2002.83333333333,1.9
2002.91666666667,2.2
2003,2.8
2003.08333333333,3.4
2003.16666666667,3.1
2003.25,2.5
2003.33333333333,2.2
2003.41666666667,2.3
2003.5,2.5
2003.58333333333,2.4
2003.66666666667,2.4
2003.75,2.1
2003.83333333333,2.1
2003.91666666667,1.9
2004,1.3
2004.08333333333,0.3
2004.16666666667,0.6
2004.25,1.1
2004.33333333333,1.5
2004.41666666667,1.2
2004.5,1.3
2004.58333333333,1.2
2004.66666666667,1.2
2004.75,1.4
2004.83333333333,1.1
2004.91666666667,1
2005,0.8
2005.08333333333,1.4
2005.16666666667,0.8
2005.25,0.7
2005.33333333333,0.5
2005.41666666667,1
2005.5,1
2005.58333333333,1.4
2005.66666666667,1.3
2005.75,1.2
2005.83333333333,1.5
2005.91666666667,1.6
2006,1.2
2006.08333333333,1.1
2006.16666666667,1.5
2006.25,1.8
2006.33333333333,1.9
2006.41666666667,1.8
2006.5,1.6
2006.58333333333,1.4
2006.66666666667,1.2
2006.75,1
2006.83333333333,1.3
2006.91666666667,1.2
2007,1.4
2007.08333333333,1.4
2007.16666666667,1.4
2007.25,1.3
2007.33333333333,1
2007.41666666667,1.1
2007.5,1.2
2007.58333333333,1
2007.66666666667,1.3
2007.75,1.8
2007.83333333333,2.3
2007.91666666667,2.4
2008,2.3
2008.08333333333,2.3
2008.16666666667,2.6
2008.25,2.5
2008.33333333333,3
2008.41666666667,3.3
2008.5,3.2
2008.58333333333,3.4
2008.66666666667,3.5
2008.75,2.8
2008.83333333333,1.8
2008.91666666667,1.6
2009,2.1
2009.08333333333,2.3
2009.16666666667,1.9
2009.25,1.8
2009.33333333333,1.4
2009.41666666667,1.2
2009.5,1.4
2009.58333333333,1.5
2009.66666666667,1.1
2009.75,1.5
2009.83333333333,2
2009.91666666667,2.4
2010,2.3
2010.08333333333,2.4
2010.16666666667,2.2
2010.25,1.9
2010.33333333333,2.1
2010.41666666667,1.9
2010.5,1.7
2010.58333333333,1.5
2010.66666666667,1.8
2010.75,1.8
2010.83333333333,1.9
2010.91666666667,2.3
2011,1.4
2011.08333333333,1.3
2011.16666666667,1.5
2011.25,1.8
2011.33333333333,1.7
2011.41666666667,1.5
2011.5,1.6
2011.58333333333,1.6
2011.66666666667,1.5
2011.75,1.1
2011.83333333333,1.1
2011.91666666667,0.5
2012,0.9
2012.08333333333,1.1
2012.16666666667,1.1
2012.25,1
2012.33333333333,0.9
2012.41666666667,0.9
2012.5,0.8
