"quarter","observations","type.of.building","region","value"
"2008K1","Number","buildings for seasonal and secondary use","Sweden",531
"2008K2","Number","buildings for seasonal and secondary use","Sweden",896
"2008K3","Number","buildings for seasonal and secondary use","Sweden",449
"2008K4","Number","buildings for seasonal and secondary use","Sweden",372
"2009K1","Number","buildings for seasonal and secondary use","Sweden",399
"2009K2","Number","buildings for seasonal and secondary use","Sweden",732
"2009K3","Number","buildings for seasonal and secondary use","Sweden",527
"2009K4","Number","buildings for seasonal and secondary use","Sweden",576
"2010K1","Number","buildings for seasonal and secondary use","Sweden",510
"2010K2","Number","buildings for seasonal and secondary use","Sweden",812
"2010K3","Number","buildings for seasonal and secondary use","Sweden",464
"2010K4","Number","buildings for seasonal and secondary use","Sweden",493
"2011K1","Number","buildings for seasonal and secondary use","Sweden",563
"2011K2","Number","buildings for seasonal and secondary use","Sweden",848
"2011K3","Number","buildings for seasonal and secondary use","Sweden",523
"2011K4","Number","buildings for seasonal and secondary use","Sweden",544
"2012K1","Number","buildings for seasonal and secondary use","Sweden",388
"2012K2","Number","buildings for seasonal and secondary use","Sweden",610
"2012K3","Number","buildings for seasonal and secondary use","Sweden",348
"2012K4","Number","buildings for seasonal and secondary use","Sweden",421
"2013K1","Number","buildings for seasonal and secondary use","Sweden",498
"2013K2","Number","buildings for seasonal and secondary use","Sweden",591
"2013K3","Number","buildings for seasonal and secondary use","Sweden",411
"2013K4","Number","buildings for seasonal and secondary use","Sweden",442
"2014K1","Number","buildings for seasonal and secondary use","Sweden",466
"2014K2","Number","buildings for seasonal and secondary use","Sweden",564
"2014K3","Number","buildings for seasonal and secondary use","Sweden",442
"2014K4","Number","buildings for seasonal and secondary use","Sweden",434
"2015K1","Number","buildings for seasonal and secondary use","Sweden",411
"2015K2","Number","buildings for seasonal and secondary use","Sweden",764
"2015K3","Number","buildings for seasonal and secondary use","Sweden",646
"2015K4","Number","buildings for seasonal and secondary use","Sweden",544
"2016K1","Number","buildings for seasonal and secondary use","Sweden",618
"2016K2","Number","buildings for seasonal and secondary use","Sweden",874
"2016K3","Number","buildings for seasonal and secondary use","Sweden",613
"2016K4","Number","buildings for seasonal and secondary use","Sweden",608
"2017K1","Number","buildings for seasonal and secondary use","Sweden",757
"2017K2","Number","buildings for seasonal and secondary use","Sweden",996
"2017K3","Number","buildings for seasonal and secondary use","Sweden",636
"2017K4","Number","buildings for seasonal and secondary use","Sweden",583
"2018K1","Number","buildings for seasonal and secondary use","Sweden",519
"2018K2","Number","buildings for seasonal and secondary use","Sweden",813
"2018K3","Number","buildings for seasonal and secondary use","Sweden",543
"2018K4","Number","buildings for seasonal and secondary use","Sweden",582
"2019K1","Number","buildings for seasonal and secondary use","Sweden",638
"2019K2","Number","buildings for seasonal and secondary use","Sweden",937
"2019K3","Number","buildings for seasonal and secondary use","Sweden",568
"2019K4","Number","buildings for seasonal and secondary use","Sweden",575
"2020K1","Number","buildings for seasonal and secondary use","Sweden",704
"2020K2","Number","buildings for seasonal and secondary use","Sweden",823
"2020K3","Number","buildings for seasonal and secondary use","Sweden",628
"2020K4","Number","buildings for seasonal and secondary use","Sweden",782
"2021K1","Number","buildings for seasonal and secondary use","Sweden",993
"2021K2","Number","buildings for seasonal and secondary use","Sweden",1583
"2021K3","Number","buildings for seasonal and secondary use","Sweden",944
"2021K4","Number","buildings for seasonal and secondary use","Sweden",809
"2022K1","Number","buildings for seasonal and secondary use","Sweden",1191
"2022K2","Number","buildings for seasonal and secondary use","Sweden",1139
"2022K3","Number","buildings for seasonal and secondary use","Sweden",882
"2022K4","Number","buildings for seasonal and secondary use","Sweden",575
"2023K1","Number","buildings for seasonal and secondary use","Sweden",461
"2023K2","Number","buildings for seasonal and secondary use","Sweden",588
"2023K3","Number","buildings for seasonal and secondary use","Sweden",424
"2023K4","Number","buildings for seasonal and secondary use","Sweden",423
"2024K1","Number","buildings for seasonal and secondary use","Sweden",411
"2024K2","Number","buildings for seasonal and secondary use","Sweden",564
"2024K3","Number","buildings for seasonal and secondary use","Sweden",430
"2024K4","Number","buildings for seasonal and secondary use","Sweden",359
"2025K1","Number","buildings for seasonal and secondary use","Sweden",431
