"Period","Indikator","value"
"2006M06","Barometerindikatorn",108.5
"2006M07","Barometerindikatorn",106.2
"2006M08","Barometerindikatorn",107.2
"2006M09","Barometerindikatorn",108.3
"2006M10","Barometerindikatorn",110.1
"2006M11","Barometerindikatorn",112.1
"2006M12","Barometerindikatorn",110.6
"2007M01","Barometerindikatorn",110.5
"2007M02","Barometerindikatorn",111.2
"2007M03","Barometerindikatorn",110.7
"2007M04","Barometerindikatorn",114.7
"2007M05","Barometerindikatorn",112.4
"2007M06","Barometerindikatorn",113.3
"2007M07","Barometerindikatorn",112.9
"2007M08","Barometerindikatorn",110.3
"2007M09","Barometerindikatorn",107.2
"2007M10","Barometerindikatorn",108.4
