"year","observations","income.bracket","age","sex","region","value"
"2004","Median income, SEK thousands","total","20-24 years","total","Sweden",86.2
"2005","Median income, SEK thousands","total","20-24 years","total","Sweden",86
"2006","Median income, SEK thousands","total","20-24 years","total","Sweden",94
"2007","Median income, SEK thousands","total","20-24 years","total","Sweden",101.4
"2008","Median income, SEK thousands","total","20-24 years","total","Sweden",103.9
"2009","Median income, SEK thousands","total","20-24 years","total","Sweden",90.5
"2010","Median income, SEK thousands","total","20-24 years","total","Sweden",89
"2011","Median income, SEK thousands","total","20-24 years","total","Sweden",96.4
"2012","Median income, SEK thousands","total","20-24 years","total","Sweden",101
"2013","Median income, SEK thousands","total","20-24 years","total","Sweden",102.7
"2014","Median income, SEK thousands","total","20-24 years","total","Sweden",109.2
"2015","Median income, SEK thousands","total","20-24 years","total","Sweden",121.8
"2016","Median income, SEK thousands","total","20-24 years","total","Sweden",133.7
"2017","Median income, SEK thousands","total","20-24 years","total","Sweden",140.1
"2018","Median income, SEK thousands","total","20-24 years","total","Sweden",145.5
"2019","Median income, SEK thousands","total","20-24 years","total","Sweden",142
"2020","Median income, SEK thousands","total","20-24 years","total","Sweden",128.8
"2021","Median income, SEK thousands","total","20-24 years","total","Sweden",141.9
"2022","Median income, SEK thousands","total","20-24 years","total","Sweden",163
"2023","Median income, SEK thousands","total","20-24 years","total","Sweden",166.2
"1999","Mean income, SEK thousands","total","25-29 years","total","Sweden",159.1
"2000","Mean income, SEK thousands","total","25-29 years","total","Sweden",167.8
"2001","Mean income, SEK thousands","total","25-29 years","total","Sweden",175.4
"2002","Mean income, SEK thousands","total","25-29 years","total","Sweden",177.2
"2003","Mean income, SEK thousands","total","25-29 years","total","Sweden",176.6
"2004","Mean income, SEK thousands","total","25-29 years","total","Sweden",176.2
"2005","Mean income, SEK thousands","total","25-29 years","total","Sweden",177.4
"2006","Mean income, SEK thousands","total","25-29 years","total","Sweden",184
"2007","Mean income, SEK thousands","total","25-29 years","total","Sweden",192.2
"2008","Mean income, SEK thousands","total","25-29 years","total","Sweden",199.3
"2009","Mean income, SEK thousands","total","25-29 years","total","Sweden",194.2
"2010","Mean income, SEK thousands","total","25-29 years","total","Sweden",195.4
"2011","Mean income, SEK thousands","total","25-29 years","total","Sweden",201.7
"2012","Mean income, SEK thousands","total","25-29 years","total","Sweden",208.3
"2013","Mean income, SEK thousands","total","25-29 years","total","Sweden",212
"2014","Mean income, SEK thousands","total","25-29 years","total","Sweden",217.6
"2015","Mean income, SEK thousands","total","25-29 years","total","Sweden",227.3
"2016","Mean income, SEK thousands","total","25-29 years","total","Sweden",237.3
"2017","Mean income, SEK thousands","total","25-29 years","total","Sweden",245.5
"2018","Mean income, SEK thousands","total","25-29 years","total","Sweden",255.1
"2019","Mean income, SEK thousands","total","25-29 years","total","Sweden",262.5
"2020","Mean income, SEK thousands","total","25-29 years","total","Sweden",263.4
"2021","Mean income, SEK thousands","total","25-29 years","total","Sweden",276.3
"2022","Mean income, SEK thousands","total","25-29 years","total","Sweden",293.1
"2023","Mean income, SEK thousands","total","25-29 years","total","Sweden",304.9
"1999","Median income, SEK thousands","total","25-29 years","total","Sweden",165.4
"2000","Median income, SEK thousands","total","25-29 years","total","Sweden",173.6
"2001","Median income, SEK thousands","total","25-29 years","total","Sweden",181.1
"2002","Median income, SEK thousands","total","25-29 years","total","Sweden",184.7
"2003","Median income, SEK thousands","total","25-29 years","total","Sweden",185.7
"2004","Median income, SEK thousands","total","25-29 years","total","Sweden",185.3
"2005","Median income, SEK thousands","total","25-29 years","total","Sweden",186
"2006","Median income, SEK thousands","total","25-29 years","total","Sweden",192.7
"2007","Median income, SEK thousands","total","25-29 years","total","Sweden",201.5
"2008","Median income, SEK thousands","total","25-29 years","total","Sweden",210.4
"2009","Median income, SEK thousands","total","25-29 years","total","Sweden",204
"2010","Median income, SEK thousands","total","25-29 years","total","Sweden",202.7
"2011","Median income, SEK thousands","total","25-29 years","total","Sweden",210.6
"2012","Median income, SEK thousands","total","25-29 years","total","Sweden",217.7
"2013","Median income, SEK thousands","total","25-29 years","total","Sweden",221.1
"2014","Median income, SEK thousands","total","25-29 years","total","Sweden",226.9
"2015","Median income, SEK thousands","total","25-29 years","total","Sweden",237.7
"2016","Median income, SEK thousands","total","25-29 years","total","Sweden",249.5
"2017","Median income, SEK thousands","total","25-29 years","total","Sweden",259.1
"2018","Median income, SEK thousands","total","25-29 years","total","Sweden",269.4
"2019","Median income, SEK thousands","total","25-29 years","total","Sweden",278.2
"2020","Median income, SEK thousands","total","25-29 years","total","Sweden",280.8
"2021","Median income, SEK thousands","total","25-29 years","total","Sweden",291.1
"2022","Median income, SEK thousands","total","25-29 years","total","Sweden",308.4
"2023","Median income, SEK thousands","total","25-29 years","total","Sweden",321.8
"1999","Mean income, SEK thousands","total","30-34 years","total","Sweden",190.8
"2000","Mean income, SEK thousands","total","30-34 years","total","Sweden",202
"2001","Mean income, SEK thousands","total","30-34 years","total","Sweden",212.1
"2002","Mean income, SEK thousands","total","30-34 years","total","Sweden",217
"2003","Mean income, SEK thousands","total","30-34 years","total","Sweden",219.4
"2004","Mean income, SEK thousands","total","30-34 years","total","Sweden",223.7
"2005","Mean income, SEK thousands","total","30-34 years","total","Sweden",228.6
"2006","Mean income, SEK thousands","total","30-34 years","total","Sweden",236.2
"2007","Mean income, SEK thousands","total","30-34 years","total","Sweden",245.5
"2008","Mean income, SEK thousands","total","30-34 years","total","Sweden",253.6
"2009","Mean income, SEK thousands","total","30-34 years","total","Sweden",251
"2010","Mean income, SEK thousands","total","30-34 years","total","Sweden",253.8
"2011","Mean income, SEK thousands","total","30-34 years","total","Sweden",261.3
"2012","Mean income, SEK thousands","total","30-34 years","total","Sweden",267.7
"2013","Mean income, SEK thousands","total","30-34 years","total","Sweden",270.9
"2014","Mean income, SEK thousands","total","30-34 years","total","Sweden",275.8
"2015","Mean income, SEK thousands","total","30-34 years","total","Sweden",283.5
"2016","Mean income, SEK thousands","total","30-34 years","total","Sweden",291.8
"2017","Mean income, SEK thousands","total","30-34 years","total","Sweden",298.5
"2018","Mean income, SEK thousands","total","30-34 years","total","Sweden",308.3
"2019","Mean income, SEK thousands","total","30-34 years","total","Sweden",316.9
"2020","Mean income, SEK thousands","total","30-34 years","total","Sweden",321.9
"2021","Mean income, SEK thousands","total","30-34 years","total","Sweden",336.7
"2022","Mean income, SEK thousands","total","30-34 years","total","Sweden",355.8
"2023","Mean income, SEK thousands","total","30-34 years","total","Sweden",373.8
"1999","Median income, SEK thousands","total","30-34 years","total","Sweden",184.7
"2000","Median income, SEK thousands","total","30-34 years","total","Sweden",193.8
"2001","Median income, SEK thousands","total","30-34 years","total","Sweden",203.4
"2002","Median income, SEK thousands","total","30-34 years","total","Sweden",210.4
"2003","Median income, SEK thousands","total","30-34 years","total","Sweden",214.8
"2004","Median income, SEK thousands","total","30-34 years","total","Sweden",219.4
"2005","Median income, SEK thousands","total","30-34 years","total","Sweden",223.8
"2006","Median income, SEK thousands","total","30-34 years","total","Sweden",231.3
"2007","Median income, SEK thousands","total","30-34 years","total","Sweden",241.2
"2008","Median income, SEK thousands","total","30-34 years","total","Sweden",251.5
"2009","Median income, SEK thousands","total","30-34 years","total","Sweden",253.1
"2010","Median income, SEK thousands","total","30-34 years","total","Sweden",256.8
"2011","Median income, SEK thousands","total","30-34 years","total","Sweden",264.6
"2012","Median income, SEK thousands","total","30-34 years","total","Sweden",271.9
"2013","Median income, SEK thousands","total","30-34 years","total","Sweden",276.3
"2014","Median income, SEK thousands","total","30-34 years","total","Sweden",281.1
"2015","Median income, SEK thousands","total","30-34 years","total","Sweden",289.3
"2016","Median income, SEK thousands","total","30-34 years","total","Sweden",298.6
"2017","Median income, SEK thousands","total","30-34 years","total","Sweden",306.1
"2018","Median income, SEK thousands","total","30-34 years","total","Sweden",315.5
"2019","Median income, SEK thousands","total","30-34 years","total","Sweden",324.4
"2020","Median income, SEK thousands","total","30-34 years","total","Sweden",329.4
"2021","Median income, SEK thousands","total","30-34 years","total","Sweden",341.5
"2022","Median income, SEK thousands","total","30-34 years","total","Sweden",358.5
"2023","Median income, SEK thousands","total","30-34 years","total","Sweden",375.6
"1999","Mean income, SEK thousands","total","35-39 years","total","Sweden",203.3
"2000","Mean income, SEK thousands","total","35-39 years","total","Sweden",216.7
"2001","Mean income, SEK thousands","total","35-39 years","total","Sweden",228.3
"2002","Mean income, SEK thousands","total","35-39 years","total","Sweden",235.9
"2003","Mean income, SEK thousands","total","35-39 years","total","Sweden",240.1
"2004","Mean income, SEK thousands","total","35-39 years","total","Sweden",246.7
"2005","Mean income, SEK thousands","total","35-39 years","total","Sweden",254
"2006","Mean income, SEK thousands","total","35-39 years","total","Sweden",263.7
"2007","Mean income, SEK thousands","total","35-39 years","total","Sweden",274.9
"2008","Mean income, SEK thousands","total","35-39 years","total","Sweden",286.4
"2009","Mean income, SEK thousands","total","35-39 years","total","Sweden",288.1
"2010","Mean income, SEK thousands","total","35-39 years","total","Sweden",294.5
"2011","Mean income, SEK thousands","total","35-39 years","total","Sweden",304.5
"2012","Mean income, SEK thousands","total","35-39 years","total","Sweden",313
"2013","Mean income, SEK thousands","total","35-39 years","total","Sweden",317.5
"2014","Mean income, SEK thousands","total","35-39 years","total","Sweden",323
"2015","Mean income, SEK thousands","total","35-39 years","total","Sweden",330.4
"2016","Mean income, SEK thousands","total","35-39 years","total","Sweden",339.5
"2017","Mean income, SEK thousands","total","35-39 years","total","Sweden",345.7
"2018","Mean income, SEK thousands","total","35-39 years","total","Sweden",354.9
"2019","Mean income, SEK thousands","total","35-39 years","total","Sweden",362.1
"2020","Mean income, SEK thousands","total","35-39 years","total","Sweden",366.5
"2021","Mean income, SEK thousands","total","35-39 years","total","Sweden",380.4
"2022","Mean income, SEK thousands","total","35-39 years","total","Sweden",398.1
"2023","Mean income, SEK thousands","total","35-39 years","total","Sweden",416.1
"1999","Median income, SEK thousands","total","35-39 years","total","Sweden",189.3
"2000","Median income, SEK thousands","total","35-39 years","total","Sweden",198.9
"2001","Median income, SEK thousands","total","35-39 years","total","Sweden",209.5
"2002","Median income, SEK thousands","total","35-39 years","total","Sweden",218.8
"2003","Median income, SEK thousands","total","35-39 years","total","Sweden",224.9
"2004","Median income, SEK thousands","total","35-39 years","total","Sweden",231.3
"2005","Median income, SEK thousands","total","35-39 years","total","Sweden",237.4
"2006","Median income, SEK thousands","total","35-39 years","total","Sweden",246.5
"2007","Median income, SEK thousands","total","35-39 years","total","Sweden",257.2
"2008","Median income, SEK thousands","total","35-39 years","total","Sweden",269.1
"2009","Median income, SEK thousands","total","35-39 years","total","Sweden",274.1
"2010","Median income, SEK thousands","total","35-39 years","total","Sweden",280.9
"2011","Median income, SEK thousands","total","35-39 years","total","Sweden",290
"2012","Median income, SEK thousands","total","35-39 years","total","Sweden",299.3
"2013","Median income, SEK thousands","total","35-39 years","total","Sweden",305.5
"2014","Median income, SEK thousands","total","35-39 years","total","Sweden",311.9
"2015","Median income, SEK thousands","total","35-39 years","total","Sweden",320.2
"2016","Median income, SEK thousands","total","35-39 years","total","Sweden",329.9
"2017","Median income, SEK thousands","total","35-39 years","total","Sweden",337.6
"2018","Median income, SEK thousands","total","35-39 years","total","Sweden",346.6
"2019","Median income, SEK thousands","total","35-39 years","total","Sweden",353.3
"2020","Median income, SEK thousands","total","35-39 years","total","Sweden",357.2
"2021","Median income, SEK thousands","total","35-39 years","total","Sweden",369.4
"2022","Median income, SEK thousands","total","35-39 years","total","Sweden",384.6
"2023","Median income, SEK thousands","total","35-39 years","total","Sweden",401.8
"1999","Mean income, SEK thousands","total","40-44 years","total","Sweden",214.9
"2000","Mean income, SEK thousands","total","40-44 years","total","Sweden",226.2
"2001","Mean income, SEK thousands","total","40-44 years","total","Sweden",237.5
"2002","Mean income, SEK thousands","total","40-44 years","total","Sweden",246.1
"2003","Mean income, SEK thousands","total","40-44 years","total","Sweden",251.5
"2004","Mean income, SEK thousands","total","40-44 years","total","Sweden",259.4
"2005","Mean income, SEK thousands","total","40-44 years","total","Sweden",269.3
"2006","Mean income, SEK thousands","total","40-44 years","total","Sweden",280.2
"2007","Mean income, SEK thousands","total","40-44 years","total","Sweden",294.2
"2008","Mean income, SEK thousands","total","40-44 years","total","Sweden",306.9
"2009","Mean income, SEK thousands","total","40-44 years","total","Sweden",310.4
"2010","Mean income, SEK thousands","total","40-44 years","total","Sweden",318.6
"2011","Mean income, SEK thousands","total","40-44 years","total","Sweden",330.9
"2012","Mean income, SEK thousands","total","40-44 years","total","Sweden",341.7
"2013","Mean income, SEK thousands","total","40-44 years","total","Sweden",350.6
"2014","Mean income, SEK thousands","total","40-44 years","total","Sweden",360.8
"2015","Mean income, SEK thousands","total","40-44 years","total","Sweden",372.6
"2016","Mean income, SEK thousands","total","40-44 years","total","Sweden",383.6
"2017","Mean income, SEK thousands","total","40-44 years","total","Sweden",391.1
"2018","Mean income, SEK thousands","total","40-44 years","total","Sweden",401.5
"2019","Mean income, SEK thousands","total","40-44 years","total","Sweden",407.7
"2020","Mean income, SEK thousands","total","40-44 years","total","Sweden",413
"2021","Mean income, SEK thousands","total","40-44 years","total","Sweden",430
"2022","Mean income, SEK thousands","total","40-44 years","total","Sweden",446.8
"2023","Mean income, SEK thousands","total","40-44 years","total","Sweden",464.2
"1999","Median income, SEK thousands","total","40-44 years","total","Sweden",197.1
"2000","Median income, SEK thousands","total","40-44 years","total","Sweden",204.7
"2001","Median income, SEK thousands","total","40-44 years","total","Sweden",214.3
"2002","Median income, SEK thousands","total","40-44 years","total","Sweden",223
"2003","Median income, SEK thousands","total","40-44 years","total","Sweden",229.4
"2004","Median income, SEK thousands","total","40-44 years","total","Sweden",236.6
"2005","Median income, SEK thousands","total","40-44 years","total","Sweden",243.8
"2006","Median income, SEK thousands","total","40-44 years","total","Sweden",254
"2007","Median income, SEK thousands","total","40-44 years","total","Sweden",266.8
"2008","Median income, SEK thousands","total","40-44 years","total","Sweden",280.1
"2009","Median income, SEK thousands","total","40-44 years","total","Sweden",287
"2010","Median income, SEK thousands","total","40-44 years","total","Sweden",295.3
"2011","Median income, SEK thousands","total","40-44 years","total","Sweden",305.5
"2012","Median income, SEK thousands","total","40-44 years","total","Sweden",316
"2013","Median income, SEK thousands","total","40-44 years","total","Sweden",324.7
"2014","Median income, SEK thousands","total","40-44 years","total","Sweden",333.7
"2015","Median income, SEK thousands","total","40-44 years","total","Sweden",344.6
"2016","Median income, SEK thousands","total","40-44 years","total","Sweden",356
"2017","Median income, SEK thousands","total","40-44 years","total","Sweden",365.5
"2018","Median income, SEK thousands","total","40-44 years","total","Sweden",374.4
"2019","Median income, SEK thousands","total","40-44 years","total","Sweden",382.6
"2020","Median income, SEK thousands","total","40-44 years","total","Sweden",387.1
"2021","Median income, SEK thousands","total","40-44 years","total","Sweden",400.6
"2022","Median income, SEK thousands","total","40-44 years","total","Sweden",415
"2023","Median income, SEK thousands","total","40-44 years","total","Sweden",430.1
"1999","Mean income, SEK thousands","total","45-49 years","total","Sweden",222.5
"2000","Mean income, SEK thousands","total","45-49 years","total","Sweden",232.7
"2001","Mean income, SEK thousands","total","45-49 years","total","Sweden",243.5
"2002","Mean income, SEK thousands","total","45-49 years","total","Sweden",252.4
"2003","Mean income, SEK thousands","total","45-49 years","total","Sweden",258.5
"2004","Mean income, SEK thousands","total","45-49 years","total","Sweden",266.1
"2005","Mean income, SEK thousands","total","45-49 years","total","Sweden",274.8
"2006","Mean income, SEK thousands","total","45-49 years","total","Sweden",284.7
"2007","Mean income, SEK thousands","total","45-49 years","total","Sweden",297.3
"2008","Mean income, SEK thousands","total","45-49 years","total","Sweden",309.8
"2009","Mean income, SEK thousands","total","45-49 years","total","Sweden",314.9
"2010","Mean income, SEK thousands","total","45-49 years","total","Sweden",324.8
