"year","observations","income.bracket","age","sex","region","value"
"2005","Mean income, SEK thousands","total","55-59 years","total","Sweden",272.7
"2006","Mean income, SEK thousands","total","55-59 years","total","Sweden",279.4
"2007","Mean income, SEK thousands","total","55-59 years","total","Sweden",289.5
"2008","Mean income, SEK thousands","total","55-59 years","total","Sweden",299.3
"2009","Mean income, SEK thousands","total","55-59 years","total","Sweden",304.5
"2010","Mean income, SEK thousands","total","55-59 years","total","Sweden",311.1
"2011","Mean income, SEK thousands","total","55-59 years","total","Sweden",320.7
"2012","Mean income, SEK thousands","total","55-59 years","total","Sweden",331.2
"2013","Mean income, SEK thousands","total","55-59 years","total","Sweden",339.3
"2014","Mean income, SEK thousands","total","55-59 years","total","Sweden",348.7
"2015","Mean income, SEK thousands","total","55-59 years","total","Sweden",359.4
"2016","Mean income, SEK thousands","total","55-59 years","total","Sweden",370.6
"2017","Mean income, SEK thousands","total","55-59 years","total","Sweden",381.2
"2018","Mean income, SEK thousands","total","55-59 years","total","Sweden",394.2
"2019","Mean income, SEK thousands","total","55-59 years","total","Sweden",406.7
"2020","Mean income, SEK thousands","total","55-59 years","total","Sweden",417.7
"2021","Mean income, SEK thousands","total","55-59 years","total","Sweden",438.3
"2022","Mean income, SEK thousands","total","55-59 years","total","Sweden",461.5
"2023","Mean income, SEK thousands","total","55-59 years","total","Sweden",480.6
"1999","Median income, SEK thousands","total","55-59 years","total","Sweden",200.8
"2000","Median income, SEK thousands","total","55-59 years","total","Sweden",209
"2001","Median income, SEK thousands","total","55-59 years","total","Sweden",217.5
"2002","Median income, SEK thousands","total","55-59 years","total","Sweden",225.9
"2003","Median income, SEK thousands","total","55-59 years","total","Sweden",233.5
"2004","Median income, SEK thousands","total","55-59 years","total","Sweden",239.9
"2005","Median income, SEK thousands","total","55-59 years","total","Sweden",245.3
"2006","Median income, SEK thousands","total","55-59 years","total","Sweden",252.9
"2007","Median income, SEK thousands","total","55-59 years","total","Sweden",262.6
"2008","Median income, SEK thousands","total","55-59 years","total","Sweden",273.6
"2009","Median income, SEK thousands","total","55-59 years","total","Sweden",280.8
"2010","Median income, SEK thousands","total","55-59 years","total","Sweden",287.8
"2011","Median income, SEK thousands","total","55-59 years","total","Sweden",296.1
"2012","Median income, SEK thousands","total","55-59 years","total","Sweden",305.5
"2013","Median income, SEK thousands","total","55-59 years","total","Sweden",313.3
"2014","Median income, SEK thousands","total","55-59 years","total","Sweden",321.8
"2015","Median income, SEK thousands","total","55-59 years","total","Sweden",331.6
"2016","Median income, SEK thousands","total","55-59 years","total","Sweden",341.8
"2017","Median income, SEK thousands","total","55-59 years","total","Sweden",351.7
"2018","Median income, SEK thousands","total","55-59 years","total","Sweden",362.4
"2019","Median income, SEK thousands","total","55-59 years","total","Sweden",373.3
"2020","Median income, SEK thousands","total","55-59 years","total","Sweden",381.6
"2021","Median income, SEK thousands","total","55-59 years","total","Sweden",398.4
"2022","Median income, SEK thousands","total","55-59 years","total","Sweden",414.7
"2023","Median income, SEK thousands","total","55-59 years","total","Sweden",430.5
"1999","Mean income, SEK thousands","total","60-64 years","total","Sweden",194.3
"2000","Mean income, SEK thousands","total","60-64 years","total","Sweden",202.2
"2001","Mean income, SEK thousands","total","60-64 years","total","Sweden",212.2
"2002","Mean income, SEK thousands","total","60-64 years","total","Sweden",224.5
"2003","Mean income, SEK thousands","total","60-64 years","total","Sweden",237.7
"2004","Mean income, SEK thousands","total","60-64 years","total","Sweden",248.8
"2005","Mean income, SEK thousands","total","60-64 years","total","Sweden",259
"2006","Mean income, SEK thousands","total","60-64 years","total","Sweden",266
"2007","Mean income, SEK thousands","total","60-64 years","total","Sweden",275.4
"2008","Mean income, SEK thousands","total","60-64 years","total","Sweden",285
"2009","Mean income, SEK thousands","total","60-64 years","total","Sweden",291.6
"2010","Mean income, SEK thousands","total","60-64 years","total","Sweden",296.9
"2011","Mean income, SEK thousands","total","60-64 years","total","Sweden",304.6
"2012","Mean income, SEK thousands","total","60-64 years","total","Sweden",313.9
"2013","Mean income, SEK thousands","total","60-64 years","total","Sweden",322.4
"2014","Mean income, SEK thousands","total","60-64 years","total","Sweden",330.9
"2015","Mean income, SEK thousands","total","60-64 years","total","Sweden",341.3
"2016","Mean income, SEK thousands","total","60-64 years","total","Sweden",349.7
"2017","Mean income, SEK thousands","total","60-64 years","total","Sweden",358.3
"2018","Mean income, SEK thousands","total","60-64 years","total","Sweden",367.5
"2019","Mean income, SEK thousands","total","60-64 years","total","Sweden",376.9
"2020","Mean income, SEK thousands","total","60-64 years","total","Sweden",384.5
"2021","Mean income, SEK thousands","total","60-64 years","total","Sweden",399.3
"2022","Mean income, SEK thousands","total","60-64 years","total","Sweden",416.4
"2023","Mean income, SEK thousands","total","60-64 years","total","Sweden",434.2
"1999","Median income, SEK thousands","total","60-64 years","total","Sweden",176
"2000","Median income, SEK thousands","total","60-64 years","total","Sweden",181.3
"2001","Median income, SEK thousands","total","60-64 years","total","Sweden",189.4
"2002","Median income, SEK thousands","total","60-64 years","total","Sweden",201.5
"2003","Median income, SEK thousands","total","60-64 years","total","Sweden",213.3
"2004","Median income, SEK thousands","total","60-64 years","total","Sweden",223.5
"2005","Median income, SEK thousands","total","60-64 years","total","Sweden",230.6
"2006","Median income, SEK thousands","total","60-64 years","total","Sweden",238.4
"2007","Median income, SEK thousands","total","60-64 years","total","Sweden",247.6
"2008","Median income, SEK thousands","total","60-64 years","total","Sweden",258.7
"2009","Median income, SEK thousands","total","60-64 years","total","Sweden",267.6
"2010","Median income, SEK thousands","total","60-64 years","total","Sweden",272.6
"2011","Median income, SEK thousands","total","60-64 years","total","Sweden",279.9
"2012","Median income, SEK thousands","total","60-64 years","total","Sweden",289.9
"2013","Median income, SEK thousands","total","60-64 years","total","Sweden",298.5
"2014","Median income, SEK thousands","total","60-64 years","total","Sweden",307
"2015","Median income, SEK thousands","total","60-64 years","total","Sweden",316.5
"2016","Median income, SEK thousands","total","60-64 years","total","Sweden",325.5
"2017","Median income, SEK thousands","total","60-64 years","total","Sweden",334.3
"2018","Median income, SEK thousands","total","60-64 years","total","Sweden",342.4
"2019","Median income, SEK thousands","total","60-64 years","total","Sweden",351.3
"2020","Median income, SEK thousands","total","60-64 years","total","Sweden",357.1
"2021","Median income, SEK thousands","total","60-64 years","total","Sweden",369.4
"2022","Median income, SEK thousands","total","60-64 years","total","Sweden",381.1
"2023","Median income, SEK thousands","total","60-64 years","total","Sweden",395.9
"1999","Mean income, SEK thousands","total","65-69 years","total","Sweden",159.1
"2000","Mean income, SEK thousands","total","65-69 years","total","Sweden",164.9
"2001","Mean income, SEK thousands","total","65-69 years","total","Sweden",172.4
"2002","Mean income, SEK thousands","total","65-69 years","total","Sweden",182.8
"2003","Mean income, SEK thousands","total","65-69 years","total","Sweden",195.8
"2004","Mean income, SEK thousands","total","65-69 years","total","Sweden",203.1
"2005","Mean income, SEK thousands","total","65-69 years","total","Sweden",209.8
"2006","Mean income, SEK thousands","total","65-69 years","total","Sweden",216.2
"2007","Mean income, SEK thousands","total","65-69 years","total","Sweden",229.4
"2008","Mean income, SEK thousands","total","65-69 years","total","Sweden",244.4
"2009","Mean income, SEK thousands","total","65-69 years","total","Sweden",256.9
"2010","Mean income, SEK thousands","total","65-69 years","total","Sweden",260.9
"2011","Mean income, SEK thousands","total","65-69 years","total","Sweden",264.9
"2012","Mean income, SEK thousands","total","65-69 years","total","Sweden",275.4
"2013","Mean income, SEK thousands","total","65-69 years","total","Sweden",285.9
"2014","Mean income, SEK thousands","total","65-69 years","total","Sweden",290.2
"2015","Mean income, SEK thousands","total","65-69 years","total","Sweden",300.7
"2016","Mean income, SEK thousands","total","65-69 years","total","Sweden",309.5
"2017","Mean income, SEK thousands","total","65-69 years","total","Sweden",318
"2018","Mean income, SEK thousands","total","65-69 years","total","Sweden",325.8
"2019","Mean income, SEK thousands","total","65-69 years","total","Sweden",333.1
"2020","Mean income, SEK thousands","total","65-69 years","total","Sweden",343
"2021","Mean income, SEK thousands","total","65-69 years","total","Sweden",357.6
"2022","Mean income, SEK thousands","total","65-69 years","total","Sweden",379.5
"2023","Mean income, SEK thousands","total","65-69 years","total","Sweden",395.8
"1999","Median income, SEK thousands","total","65-69 years","total","Sweden",141.6
"2000","Median income, SEK thousands","total","65-69 years","total","Sweden",145.2
"2001","Median income, SEK thousands","total","65-69 years","total","Sweden",150.3
"2002","Median income, SEK thousands","total","65-69 years","total","Sweden",158.4
"2003","Median income, SEK thousands","total","65-69 years","total","Sweden",167.5
"2004","Median income, SEK thousands","total","65-69 years","total","Sweden",172.9
"2005","Median income, SEK thousands","total","65-69 years","total","Sweden",177.6
"2006","Median income, SEK thousands","total","65-69 years","total","Sweden",182.8
"2007","Median income, SEK thousands","total","65-69 years","total","Sweden",191.3
"2008","Median income, SEK thousands","total","65-69 years","total","Sweden",202.8
"2009","Median income, SEK thousands","total","65-69 years","total","Sweden",213.3
"2010","Median income, SEK thousands","total","65-69 years","total","Sweden",215.5
"2011","Median income, SEK thousands","total","65-69 years","total","Sweden",217.3
"2012","Median income, SEK thousands","total","65-69 years","total","Sweden",226.6
"2013","Median income, SEK thousands","total","65-69 years","total","Sweden",237.3
"2014","Median income, SEK thousands","total","65-69 years","total","Sweden",240.3
"2015","Median income, SEK thousands","total","65-69 years","total","Sweden",250.4
"2016","Median income, SEK thousands","total","65-69 years","total","Sweden",261.1
"2017","Median income, SEK thousands","total","65-69 years","total","Sweden",270.9
"2018","Median income, SEK thousands","total","65-69 years","total","Sweden",278.7
"2019","Median income, SEK thousands","total","65-69 years","total","Sweden",286.6
"2020","Median income, SEK thousands","total","65-69 years","total","Sweden",294.8
"2021","Median income, SEK thousands","total","65-69 years","total","Sweden",307.7
"2022","Median income, SEK thousands","total","65-69 years","total","Sweden",330
"2023","Median income, SEK thousands","total","65-69 years","total","Sweden",342
"1999","Mean income, SEK thousands","total","70-74 years","total","Sweden",136.4
"2000","Mean income, SEK thousands","total","70-74 years","total","Sweden",138.3
"2001","Mean income, SEK thousands","total","70-74 years","total","Sweden",142.6
"2002","Mean income, SEK thousands","total","70-74 years","total","Sweden",149.4
"2003","Mean income, SEK thousands","total","70-74 years","total","Sweden",161.2
"2004","Mean income, SEK thousands","total","70-74 years","total","Sweden",166.3
"2005","Mean income, SEK thousands","total","70-74 years","total","Sweden",171.7
"2006","Mean income, SEK thousands","total","70-74 years","total","Sweden",177
"2007","Mean income, SEK thousands","total","70-74 years","total","Sweden",183.7
"2008","Mean income, SEK thousands","total","70-74 years","total","Sweden",193.9
"2009","Mean income, SEK thousands","total","70-74 years","total","Sweden",203.9
"2010","Mean income, SEK thousands","total","70-74 years","total","Sweden",202.7
"2011","Mean income, SEK thousands","total","70-74 years","total","Sweden",204.3
"2012","Mean income, SEK thousands","total","70-74 years","total","Sweden",215.1
"2013","Mean income, SEK thousands","total","70-74 years","total","Sweden",227.2
"2014","Mean income, SEK thousands","total","70-74 years","total","Sweden",230.5
"2015","Mean income, SEK thousands","total","70-74 years","total","Sweden",238.7
"2016","Mean income, SEK thousands","total","70-74 years","total","Sweden",248
"2017","Mean income, SEK thousands","total","70-74 years","total","Sweden",255.5
"2018","Mean income, SEK thousands","total","70-74 years","total","Sweden",261
"2019","Mean income, SEK thousands","total","70-74 years","total","Sweden",267.9
"2020","Mean income, SEK thousands","total","70-74 years","total","Sweden",275.5
"2021","Mean income, SEK thousands","total","70-74 years","total","Sweden",283.8
"2022","Mean income, SEK thousands","total","70-74 years","total","Sweden",303.3
"2023","Mean income, SEK thousands","total","70-74 years","total","Sweden",319.7
"1999","Median income, SEK thousands","total","70-74 years","total","Sweden",127.2
"2000","Median income, SEK thousands","total","70-74 years","total","Sweden",129.1
"2001","Median income, SEK thousands","total","70-74 years","total","Sweden",132.3
"2002","Median income, SEK thousands","total","70-74 years","total","Sweden",138
"2003","Median income, SEK thousands","total","70-74 years","total","Sweden",145.2
"2004","Median income, SEK thousands","total","70-74 years","total","Sweden",149.9
"2005","Median income, SEK thousands","total","70-74 years","total","Sweden",155
"2006","Median income, SEK thousands","total","70-74 years","total","Sweden",159.9
"2007","Median income, SEK thousands","total","70-74 years","total","Sweden",165
"2008","Median income, SEK thousands","total","70-74 years","total","Sweden",172.2
"2009","Median income, SEK thousands","total","70-74 years","total","Sweden",180.1
"2010","Median income, SEK thousands","total","70-74 years","total","Sweden",177.3
"2011","Median income, SEK thousands","total","70-74 years","total","Sweden",175.7
"2012","Median income, SEK thousands","total","70-74 years","total","Sweden",182.9
"2013","Median income, SEK thousands","total","70-74 years","total","Sweden",192.3
"2014","Median income, SEK thousands","total","70-74 years","total","Sweden",192.2
"2015","Median income, SEK thousands","total","70-74 years","total","Sweden",197.2
"2016","Median income, SEK thousands","total","70-74 years","total","Sweden",205.2
"2017","Median income, SEK thousands","total","70-74 years","total","Sweden",211.1
"2018","Median income, SEK thousands","total","70-74 years","total","Sweden",214.8
"2019","Median income, SEK thousands","total","70-74 years","total","Sweden",219.3
"2020","Median income, SEK thousands","total","70-74 years","total","Sweden",225.8
"2021","Median income, SEK thousands","total","70-74 years","total","Sweden",231.1
"2022","Median income, SEK thousands","total","70-74 years","total","Sweden",247.2
"2023","Median income, SEK thousands","total","70-74 years","total","Sweden",258.7
"1999","Mean income, SEK thousands","total","75-79 years","total","Sweden",123.6
"2000","Mean income, SEK thousands","total","75-79 years","total","Sweden",125.1
"2001","Mean income, SEK thousands","total","75-79 years","total","Sweden",128.4
"2002","Mean income, SEK thousands","total","75-79 years","total","Sweden",134.7
"2003","Mean income, SEK thousands","total","75-79 years","total","Sweden",147.3
"2004","Mean income, SEK thousands","total","75-79 years","total","Sweden",152
"2005","Mean income, SEK thousands","total","75-79 years","total","Sweden",155.8
"2006","Mean income, SEK thousands","total","75-79 years","total","Sweden",160
"2007","Mean income, SEK thousands","total","75-79 years","total","Sweden",164.9
"2008","Mean income, SEK thousands","total","75-79 years","total","Sweden",172.2
"2009","Mean income, SEK thousands","total","75-79 years","total","Sweden",181.6
"2010","Mean income, SEK thousands","total","75-79 years","total","Sweden",180.1
"2011","Mean income, SEK thousands","total","75-79 years","total","Sweden",181
"2012","Mean income, SEK thousands","total","75-79 years","total","Sweden",189.4
"2013","Mean income, SEK thousands","total","75-79 years","total","Sweden",198.1
"2014","Mean income, SEK thousands","total","75-79 years","total","Sweden",197.8
"2015","Mean income, SEK thousands","total","75-79 years","total","Sweden",202.8
"2016","Mean income, SEK thousands","total","75-79 years","total","Sweden",212.3
"2017","Mean income, SEK thousands","total","75-79 years","total","Sweden",221.5
"2018","Mean income, SEK thousands","total","75-79 years","total","Sweden",229.4
"2019","Mean income, SEK thousands","total","75-79 years","total","Sweden",237.3
"2020","Mean income, SEK thousands","total","75-79 years","total","Sweden",246.3
"2021","Mean income, SEK thousands","total","75-79 years","total","Sweden",252.4
"2022","Mean income, SEK thousands","total","75-79 years","total","Sweden",266.8
"2023","Mean income, SEK thousands","total","75-79 years","total","Sweden",281.1
"1999","Median income, SEK thousands","total","75-79 years","total","Sweden",116.4
"2000","Median income, SEK thousands","total","75-79 years","total","Sweden",118.8
"2001","Median income, SEK thousands","total","75-79 years","total","Sweden",122.1
"2002","Median income, SEK thousands","total","75-79 years","total","Sweden",128.4
"2003","Median income, SEK thousands","total","75-79 years","total","Sweden",135.4
"2004","Median income, SEK thousands","total","75-79 years","total","Sweden",140.2
"2005","Median income, SEK thousands","total","75-79 years","total","Sweden",144.6
"2006","Median income, SEK thousands","total","75-79 years","total","Sweden",148.8
"2007","Median income, SEK thousands","total","75-79 years","total","Sweden",153.2
"2008","Median income, SEK thousands","total","75-79 years","total","Sweden",160
"2009","Median income, SEK thousands","total","75-79 years","total","Sweden",168.8
"2010","Median income, SEK thousands","total","75-79 years","total","Sweden",166.5
"2011","Median income, SEK thousands","total","75-79 years","total","Sweden",165.8
"2012","Median income, SEK thousands","total","75-79 years","total","Sweden",173.3
"2013","Median income, SEK thousands","total","75-79 years","total","Sweden",181.2
"2014","Median income, SEK thousands","total","75-79 years","total","Sweden",178.9
"2015","Median income, SEK thousands","total","75-79 years","total","Sweden",181.7
"2016","Median income, SEK thousands","total","75-79 years","total","Sweden",189
"2017","Median income, SEK thousands","total","75-79 years","total","Sweden",195.6
"2018","Median income, SEK thousands","total","75-79 years","total","Sweden",200.1
"2019","Median income, SEK thousands","total","75-79 years","total","Sweden",204.9
"2020","Median income, SEK thousands","total","75-79 years","total","Sweden",211.2
"2021","Median income, SEK thousands","total","75-79 years","total","Sweden",215.4
"2022","Median income, SEK thousands","total","75-79 years","total","Sweden",227.2
"2023","Median income, SEK thousands","total","75-79 years","total","Sweden",236.6
"1999","Mean income, SEK thousands","total","80-84 years","total","Sweden",115.8
"2000","Mean income, SEK thousands","total","80-84 years","total","Sweden",118
"2001","Mean income, SEK thousands","total","80-84 years","total","Sweden",121.6
"2002","Mean income, SEK thousands","total","80-84 years","total","Sweden",126.8
"2003","Mean income, SEK thousands","total","80-84 years","total","Sweden",139.6
"2004","Mean income, SEK thousands","total","80-84 years","total","Sweden",143.5
"2005","Mean income, SEK thousands","total","80-84 years","total","Sweden",147.2
"2006","Mean income, SEK thousands","total","80-84 years","total","Sweden",150.9
"2007","Mean income, SEK thousands","total","80-84 years","total","Sweden",155.8
"2008","Mean income, SEK thousands","total","80-84 years","total","Sweden",162.4
"2009","Mean income, SEK thousands","total","80-84 years","total","Sweden",171.9
"2010","Mean income, SEK thousands","total","80-84 years","total","Sweden",169.9
"2011","Mean income, SEK thousands","total","80-84 years","total","Sweden",169.9
"2012","Mean income, SEK thousands","total","80-84 years","total","Sweden",177.3
"2013","Mean income, SEK thousands","total","80-84 years","total","Sweden",184.4
"2014","Mean income, SEK thousands","total","80-84 years","total","Sweden",183
"2015","Mean income, SEK thousands","total","80-84 years","total","Sweden",188
"2016","Mean income, SEK thousands","total","80-84 years","total","Sweden",196.2
"2017","Mean income, SEK thousands","total","80-84 years","total","Sweden",204
"2018","Mean income, SEK thousands","total","80-84 years","total","Sweden",209.6
"2019","Mean income, SEK thousands","total","80-84 years","total","Sweden",216
"2020","Mean income, SEK thousands","total","80-84 years","total","Sweden",224.3
"2021","Mean income, SEK thousands","total","80-84 years","total","Sweden",230.8
"2022","Mean income, SEK thousands","total","80-84 years","total","Sweden",246.2
"2023","Mean income, SEK thousands","total","80-84 years","total","Sweden",264.2
"1999","Median income, SEK thousands","total","80-84 years","total","Sweden",105.2
"2000","Median income, SEK thousands","total","80-84 years","total","Sweden",109.3
"2001","Median income, SEK thousands","total","80-84 years","total","Sweden",113.3
"2002","Median income, SEK thousands","total","80-84 years","total","Sweden",119
"2003","Median income, SEK thousands","total","80-84 years","total","Sweden",125.7
"2004","Median income, SEK thousands","total","80-84 years","total","Sweden",130
"2005","Median income, SEK thousands","total","80-84 years","total","Sweden",134.8
"2006","Median income, SEK thousands","total","80-84 years","total","Sweden",139.2
"2007","Median income, SEK thousands","total","80-84 years","total","Sweden",144.3
"2008","Median income, SEK thousands","total","80-84 years","total","Sweden",151
"2009","Median income, SEK thousands","total","80-84 years","total","Sweden",160.4
"2010","Median income, SEK thousands","total","80-84 years","total","Sweden",158.4
"2011","Median income, SEK thousands","total","80-84 years","total","Sweden",157.9
"2012","Median income, SEK thousands","total","80-84 years","total","Sweden",164.9
"2013","Median income, SEK thousands","total","80-84 years","total","Sweden",172.7
"2014","Median income, SEK thousands","total","80-84 years","total","Sweden",170.7
"2015","Median income, SEK thousands","total","80-84 years","total","Sweden",174.8
"2016","Median income, SEK thousands","total","80-84 years","total","Sweden",183.2
"2017","Median income, SEK thousands","total","80-84 years","total","Sweden",190.3
"2018","Median income, SEK thousands","total","80-84 years","total","Sweden",194
"2019","Median income, SEK thousands","total","80-84 years","total","Sweden",198.6
"2020","Median income, SEK thousands","total","80-84 years","total","Sweden",204.1
"2021","Median income, SEK thousands","total","80-84 years","total","Sweden",208.3
"2022","Median income, SEK thousands","total","80-84 years","total","Sweden",221.4
"2023","Median income, SEK thousands","total","80-84 years","total","Sweden",233.3
"1999","Mean income, SEK thousands","total","85+ years","total","Sweden",94
"2000","Mean income, SEK thousands","total","85+ years","total","Sweden",97.2
"2001","Mean income, SEK thousands","total","85+ years","total","Sweden",101.8
"2002","Mean income, SEK thousands","total","85+ years","total","Sweden",108.4
"2003","Mean income, SEK thousands","total","85+ years","total","Sweden",126.6
"2004","Mean income, SEK thousands","total","85+ years","total","Sweden",131.8
"2005","Mean income, SEK thousands","total","85+ years","total","Sweden",136.1
"2006","Mean income, SEK thousands","total","85+ years","total","Sweden",140.1
"2007","Mean income, SEK thousands","total","85+ years","total","Sweden",144.7
"2008","Mean income, SEK thousands","total","85+ years","total","Sweden",150.9
"2009","Mean income, SEK thousands","total","85+ years","total","Sweden",160.1
"2010","Mean income, SEK thousands","total","85+ years","total","Sweden",159.1
"2011","Mean income, SEK thousands","total","85+ years","total","Sweden",159.5
"2012","Mean income, SEK thousands","total","85+ years","total","Sweden",166.9
"2013","Mean income, SEK thousands","total","85+ years","total","Sweden",173.7
"2014","Mean income, SEK thousands","total","85+ years","total","Sweden",173.7
"2015","Mean income, SEK thousands","total","85+ years","total","Sweden",177.2
"2016","Mean income, SEK thousands","total","85+ years","total","Sweden",183.7
"2017","Mean income, SEK thousands","total","85+ years","total","Sweden",190.2
"2018","Mean income, SEK thousands","total","85+ years","total","Sweden",195.1
"2019","Mean income, SEK thousands","total","85+ years","total","Sweden",200.8
"2020","Mean income, SEK thousands","total","85+ years","total","Sweden",208.9
"2021","Mean income, SEK thousands","total","85+ years","total","Sweden",214.4
"2022","Mean income, SEK thousands","total","85+ years","total","Sweden",227.5
"2023","Mean income, SEK thousands","total","85+ years","total","Sweden",244
"1999","Median income, SEK thousands","total","85+ years","total","Sweden",73.6
"2000","Median income, SEK thousands","total","85+ years","total","Sweden",77.7
"2001","Median income, SEK thousands","total","85+ years","total","Sweden",83
"2002","Median income, SEK thousands","total","85+ years","total","Sweden",90.6
"2003","Median income, SEK thousands","total","85+ years","total","Sweden",108
"2004","Median income, SEK thousands","total","85+ years","total","Sweden",113.2
"2005","Median income, SEK thousands","total","85+ years","total","Sweden",118
"2006","Median income, SEK thousands","total","85+ years","total","Sweden",122.4
"2007","Median income, SEK thousands","total","85+ years","total","Sweden",126.7
"2008","Median income, SEK thousands","total","85+ years","total","Sweden",133.3
"2009","Median income, SEK thousands","total","85+ years","total","Sweden",142.7
"2010","Median income, SEK thousands","total","85+ years","total","Sweden",142.8
"2011","Median income, SEK thousands","total","85+ years","total","Sweden",143.6
"2012","Median income, SEK thousands","total","85+ years","total","Sweden",151.5
"2013","Median income, SEK thousands","total","85+ years","total","Sweden",159.1
"2014","Median income, SEK thousands","total","85+ years","total","Sweden",158.9
"2015","Median income, SEK thousands","total","85+ years","total","Sweden",162.8
"2016","Median income, SEK thousands","total","85+ years","total","Sweden",170.2
"2017","Median income, SEK thousands","total","85+ years","total","Sweden",176.9
"2018","Median income, SEK thousands","total","85+ years","total","Sweden",181.9
"2019","Median income, SEK thousands","total","85+ years","total","Sweden",187.1
"2020","Median income, SEK thousands","total","85+ years","total","Sweden",194.6
"2021","Median income, SEK thousands","total","85+ years","total","Sweden",200.1
"2022","Median income, SEK thousands","total","85+ years","total","Sweden",212.9
"2023","Median income, SEK thousands","total","85+ years","total","Sweden",225
